symbol,年份,年度收益%
SZ.002371,2021,93.43564496336141
SZ.002475,2016,13.357684404923308
SZ.002475,2017,85.99344086415341
SZ.002475,2018,-24.433500333032576
SZ.002475,2019,275.14537131586354
SZ.002475,2020,104.25133511788233
SZ.002475,2021,-12.349087648573187
SH.603083,2017,248.0481574664535
SH.603083,2018,-33.43318168259965
SH.603083,2019,54.554550759496244
SH.603083,2020,-35.950715878281244
SH.603083,2021,-7.649901651173252
SH.600150,2016,22.328001580653513
SH.600150,2017,-10.890361901704026
SH.600150,2018,-48.022799687182825
SH.600150,2019,70.05123406483528
SH.600150,2020,-19.21443605635157
SH.600150,2021,41.38330852739607
SZ.302132,2016,7.568557836956713
SZ.302132,2017,-34.40705689020908
SZ.302132,2018,-32.96722414591087
SZ.302132,2019,68.9095371570506
SZ.302132,2020,34.18358903977452
SZ.302132,2021,19.46515612236197
SH.600760,2016,151.53240714707167
SH.600760,2017,101.37404837131791
SH.600760,2018,-23.114807981510577
SH.600760,2019,16.36567830599638
SH.600760,2020,168.68813268358994
SH.600760,2021,23.372241229557677
SH.600893,2016,-10.00361969594633
SH.600893,2017,-18.0530444862936
SH.600893,2018,-19.594298831904
SH.600893,2019,0.4857893086474663
SH.600893,2020,181.3237681035531
SH.600893,2021,7.185899661437123
SH.600118,2016,-2.953400516970739
SH.600118,2017,-19.270059530084293
SH.600118,2018,-31.668281113475604
SH.600118,2019,24.728723974685284
SH.600118,2020,52.010236211337045
SH.600118,2021,-15.440684448961917
SH.600482,2016,-9.638377801223042
SH.600482,2017,-18.666794194914704
