symbol,date,adjusted_close,close,amount,turnover_rate
SH.600406,2021-01-05,13.59,13.59,698119632.0,0.57
SH.600406,2021-01-06,13.11,13.11,760005072.0,0.63
SH.600406,2021-01-07,13.64,13.64,701623424.0,0.57
SH.600406,2021-01-08,13.99,13.99,937005872.0,0.74
SH.600406,2021-01-11,13.39,13.39,1109826576.0,0.88
SH.600406,2021-01-12,13.76,13.76,605858080.0,0.49
SH.600406,2021-01-13,13.81,13.81,690960288.0,0.55
SH.600406,2021-01-14,13.81,13.81,843800880.0,0.66
SH.600406,2021-01-15,13.46,13.46,501349280.0,0.41
SH.600406,2021-01-18,14.61,14.61,1613207120.0,1.22
SH.600406,2021-01-19,14.86,14.86,1165127952.0,0.87
SH.600406,2021-01-20,14.93,14.93,694020768.0,0.51
SH.600406,2021-01-21,15.14,15.14,727459936.0,0.53
SH.600406,2021-01-22,15.89,15.89,1127804336.0,0.8
SH.600406,2021-01-25,16.33,16.33,1092633472.0,0.76
SH.600406,2021-01-26,15.76,15.76,888370224.0,0.62
SH.600406,2021-01-27,16.07,16.07,636027808.0,0.45
SH.600406,2021-01-28,14.92,14.92,859643984.0,0.63
SH.600406,2021-01-29,14.92,14.92,519897792.0,0.38
SH.600406,2021-02-01,15.08,15.08,549095488.0,0.4
SH.600406,2021-02-02,15.5,15.5,592814224.0,0.43
SH.600406,2021-02-03,15.41,15.41,562748480.0,0.4
SH.600406,2021-02-04,15.0,15.0,751430256.0,0.56
SH.600406,2021-02-05,14.82,14.82,807371120.0,0.6
SH.600406,2021-02-08,15.82,15.82,742320736.0,0.54
SH.600406,2021-02-09,17.21,17.21,1162575360.0,0.79
SH.600406,2021-02-10,17.44,17.44,689464496.0,0.45
SH.600406,2021-02-18,16.92,16.92,890965808.0,0.58
SH.600406,2021-02-19,16.7,16.7,761426784.0,0.51
SH.600406,2021-02-22,15.79,15.79,735388112.0,0.51
SH.600406,2021-02-23,15.22,15.22,749046064.0,0.54
SH.600406,2021-02-24,14.56,14.56,674283664.0,0.5
SH.600406,2021-02-25,14.23,14.23,598786896.0,0.46
SH.600406,2021-02-26,14.32,14.32,753286192.0,0.58
SH.600406,2021-03-01,14.84,14.84,797574192.0,0.59
SH.600406,2021-03-02,16.16,16.16,1810530832.0,1.25
SH.600406,2021-03-03,15.11,15.11,1374004192.0,1.0
SH.600406,2021-03-04,14.35,14.35,656539552.0,0.5
SH.600406,2021-03-05,14.58,14.58,507190880.0,0.39
SH.600406,2021-03-08,13.37,13.37,858530624.0,0.68
SH.600406,2021-03-09,13.31,13.31,768202016.0,0.62
SH.600406,2021-03-10,13.4,13.4,403372496.0,0.32
SH.600406,2021-03-11,13.7,13.7,349101216.0,0.28
SH.600406,2021-03-12,14.46,14.46,747885536.0,0.58
SH.600406,2021-03-15,14.45,14.45,579909072.0,0.44
SH.600406,2021-03-16,15.2,15.2,942642448.0,0.69
SH.600406,2021-03-17,15.59,15.59,661998208.0,0.48
SH.600406,2021-03-18,15.6,15.6,505244224.0,0.36
SH.600406,2021-03-19,14.91,14.91,519662160.0,0.38
SH.600406,2021-03-22,16.25,16.25,805956016.0,0.56
SH.600406,2021-03-23,16.41,16.41,596417488.0,0.41
SH.600406,2021-03-24,15.72,15.72,569529344.0,0.4
SH.600406,2021-03-25,15.89,15.89,399206272.0,0.28
SH.600406,2021-03-26,16.19,16.19,461934448.0,0.32
SH.600406,2021-03-29,16.71,16.71,495472016.0,0.33
SH.600406,2021-03-30,16.11,16.11,617269680.0,0.42
SH.600406,2021-03-31,15.92,15.92,496018368.0,0.35
SH.600406,2021-04-01,16.28,16.28,365597360.0,0.25
SH.600406,2021-04-02,16.14,16.14,262328870.0,0.18
SH.600406,2021-04-06,16.29,16.29,258629349.0,0.18
SH.600406,2021-04-07,16.12,16.12,361266688.0,0.25
SH.600406,2021-04-08,16.3,16.3,298893984.0,0.21
SH.600406,2021-04-09,16.3,16.3,482431216.0,0.33
SH.600406,2021-04-12,15.59,15.59,738715040.0,0.51
SH.600406,2021-04-13,15.52,15.52,416665680.0,0.3
SH.600406,2021-04-14,15.85,15.85,380657968.0,0.27
SH.600406,2021-04-15,15.65,15.65,393511904.0,0.28
SH.600406,2021-04-16,15.37,15.37,468089952.0,0.34
SH.600406,2021-04-19,15.95,15.95,390993104.0,0.27
SH.600406,2021-04-20,16.3,16.3,297636464.0,0.2
SH.600406,2021-04-21,16.3,16.3,383322480.0,0.26
SH.600406,2021-04-22,16.12,16.12,253502050.0,0.18
SH.600406,2021-04-23,16.87,16.87,769387744.0,0.51
SH.600406,2021-04-26,16.37,16.37,540024752.0,0.36
SH.600406,2021-04-27,15.76,15.76,536676336.0,0.38
SH.600406,2021-04-28,16.52,16.52,514443824.0,0.35
SH.600406,2021-04-29,16.45,16.45,428720544.0,0.29
SH.600406,2021-04-30,16.4,16.4,410015312.0,0.28
SH.600406,2021-05-06,15.76,15.76,552701008.0,0.39
SH.600406,2021-05-07,15.14,15.14,494244880.0,0.35
SH.600406,2021-05-10,15.04,15.04,449332512.0,0.33
SH.600406,2021-05-11,14.94,14.94,378344784.0,0.28
SH.600406,2021-05-12,14.91,14.91,288126624.0,0.21
SH.600406,2021-05-13,14.53,14.53,319120256.0,0.24
SH.600406,2021-05-14,15.02,15.02,489088192.0,0.36
SH.600406,2021-05-17,14.94,14.94,388780464.0,0.29
SH.600406,2021-05-18,14.85,14.85,212816409.0,0.16
SH.600406,2021-05-19,14.84,14.84,221677480.0,0.17
SH.600406,2021-05-20,15.3,15.3,493479616.0,0.36
SH.600406,2021-05-21,14.7,14.7,418916736.0,0.31
SH.600406,2021-05-24,14.0,14.0,907289056.0,0.7
SH.600406,2021-05-25,14.56,14.56,603644304.0,0.47
SH.600406,2021-05-26,15.06,15.06,524910848.0,0.39
SH.600406,2021-05-27,15.55,15.55,494230208.0,0.36
SH.600406,2021-05-28,15.41,15.41,323175088.0,0.23
SH.600406,2021-05-31,15.9,15.9,396219200.0,0.28
SH.600406,2021-06-01,15.43,15.43,388125808.0,0.28
SH.600406,2021-06-02,15.42,15.42,268352699.0,0.19
SH.600406,2021-06-03,14.98,14.98,273334608.0,0.2
SH.600406,2021-06-04,15.83,15.83,551721440.0,0.39
SH.600406,2021-06-07,15.22,15.22,374667184.0,0.27
SH.600406,2021-06-08,15.99,15.99,713835680.0,0.5
