symbol,年份,年度收益%
SH.600406,2018,3.731737182040318
SH.600406,2019,16.668929017688082
SH.600406,2020,27.10782755714558
SH.600406,2021,83.49167563215548
SH.600031,2016,10.509241924266277
SH.600031,2017,49.25453952556178
SH.600031,2018,-6.399717926385828
SH.600031,2019,108.47349512340512
SH.600031,2020,109.00118666951863
SH.600031,2021,-33.39753664392592
SZ.002028,2016,16.328331862312396
SZ.002028,2017,20.976913702841713
SZ.002028,2018,-37.40047180861211
SZ.002028,2019,40.92652901850391
SZ.002028,2020,46.48265636289424
SZ.002028,2021,147.07211873166605
SH.601126,2016,-6.437001035152656
SH.601126,2017,-18.080950644356363
SH.601126,2018,-33.16908016491232
SH.601126,2019,12.14778634512712
SH.601126,2020,28.94436730537815
SH.601126,2021,236.4588732406503
SZ.300776,2019,79.69304452466915
SZ.300776,2020,62.15472943163132
SZ.300776,2021,71.41910572930053
SZ.002747,2016,17.335638107204332
SZ.002747,2017,2.8603787723959995
SZ.002747,2018,-23.106380915323655
SZ.002747,2019,33.33239767197193
SZ.002747,2020,164.83126110124314
SZ.002747,2021,-12.808316043362023
SH.600519,2016,31.293161956899663
SH.600519,2017,111.8941949824642
SH.600519,2018,-14.208072270488003
SH.600519,2019,103.47984645023685
SH.600519,2020,70.85409886864491
SH.600519,2021,3.572643415971344
SZ.000333,2016,29.61587890903894
SZ.000333,2017,102.51815060993951
SZ.000333,2018,-31.96999439300521
SZ.000333,2019,62.19948341930448
SZ.000333,2020,73.56791643406899
SZ.000333,2021,-23.517520336734798
SZ.000858,2016,13.83298718791477
SZ.000858,2017,136.4813796353938
SZ.000858,2018,-35.11538174251141
SZ.000858,2019,165.9948177855356
SZ.000858,2020,122.36832432138681
SZ.000858,2021,-22.97208786617754
SZ.000651,2016,26.321190354027692
SZ.000651,2017,85.89021991973244
SZ.000651,2018,-18.329519450800902
SZ.000651,2019,91.66108952321856
SZ.000651,2020,-2.209261325096168
SZ.000651,2021,-36.379783613032814
SH.603288,2016,-1.676164934629465
SH.603288,2017,86.91030010516367
SH.603288,2018,29.625025714221653
SH.603288,2019,58.04348431059903
SH.603288,2020,125.7369774974853
SH.603288,2021,-31.45008603604078
SH.600887,2016,17.804134495175038
SH.600887,2017,89.05647893889075
SH.600887,2018,-27.253120531634057
SH.600887,2019,38.481666056481934
SH.600887,2020,47.313068120602296
SH.600887,2021,-4.5735018034528725
SH.600809,2016,26.62456334162604
SH.600809,2017,131.66219274698707
SH.600809,2018,-37.72455197485603
SH.600809,2019,158.6864999009171
SH.600809,2020,321.2108020287565
SH.600809,2021,17.846121525174997
SZ.002847,2017,100.41854103343452
SZ.002847,2018,-17.831528852234722
SZ.002847,2019,69.23957179771132
SZ.002847,2020,208.08325517482012
SZ.002847,2021,-21.594756077176314
