symbol,date,close,amount,turnover_rate,adj_factor,adj_price,ret
SZ.300124,2020-06-22,35.5,383903136.0,0.79,16.0939,571.3334500000001,0.02011494252873569
SZ.300124,2020-06-23,35.87,411478672.0,0.83,16.0939,577.288193,0.010422535211267459
SZ.300124,2020-06-24,36.96,695228336.0,1.37,16.0939,594.830544,0.030387510454418898
SZ.300124,2020-06-29,37.06,426740880.0,0.84,16.0939,596.4399340000001,0.0027056277056278777
SZ.300124,2020-06-30,37.99,426277728.0,0.82,16.0939,611.4072610000001,0.02509444144630324
SZ.300124,2020-07-01,38.58,421900272.0,0.8,16.0939,620.9026620000001,0.015530402737562454
SZ.300124,2020-07-02,37.8,497736896.0,0.95,16.0939,608.34942,-0.02021772939346822
SZ.300124,2020-07-03,37.77,448380096.0,0.86,16.0939,607.866603,-0.0007936507936506798
SZ.300124,2020-07-06,38.8,510889584.0,0.96,16.0939,624.44332,0.02727032036007393
SZ.300124,2020-07-07,39.93,511486112.0,0.92,16.0939,642.6294270000001,0.029123711340206304
SZ.300124,2020-07-08,43.92,718687664.0,1.19,16.0939,706.844088,0.09992486851990989
SZ.300124,2020-07-09,48.31,1415534352.0,2.16,16.0939,777.4963090000001,0.09995446265938068
SZ.300124,2020-07-10,48.6,1222744464.0,1.85,16.0939,782.1635400000001,0.006002897950734942
SZ.300124,2020-07-13,49.26,805337376.0,1.18,16.0939,792.785514,0.013580246913580174
SZ.300124,2020-07-14,50.2,1376295856.0,1.97,16.0939,807.9137800000001,0.019082419813235996
SZ.300124,2020-07-15,50.0,1036227776.0,1.48,16.1518,807.59,-0.0004007605861111596
SZ.300124,2020-07-16,50.2,1548802128.0,2.17,16.1518,810.8203600000002,0.004000000000000226
SZ.300124,2020-07-17,50.1,1151826320.0,1.67,16.1518,809.20518,-0.0019920318725100694
SZ.300124,2020-07-20,52.12,1058814016.0,1.5,16.1518,841.831816,0.040319361277445065
SZ.300124,2020-07-21,52.33,815403136.0,1.13,16.1518,845.223694,0.004029163468917796
SZ.300124,2020-07-22,51.5,794598192.0,1.1,16.1518,831.8177000000001,-0.015860882858780734
SZ.300124,2020-07-23,52.0,769785488.0,1.08,16.1518,839.8936000000001,0.009708737864077666
SZ.300124,2020-07-24,48.69,1443238320.0,2.11,16.1518,786.431142,-0.06365384615384628
SZ.300124,2020-07-27,48.3,706188592.0,1.05,16.1518,780.13194,-0.00800985828712264
SZ.300124,2020-07-28,50.31,932249184.0,1.35,16.1518,812.5970580000001,0.04161490683229818
SZ.300124,2020-07-29,51.33,843804560.0,1.2,16.1518,829.071894,0.02027429934406677
SZ.300124,2020-07-30,49.89,839243664.0,1.21,16.1518,805.8133020000001,-0.02805376972530671
SZ.300124,2020-07-31,50.26,671572112.0,0.97,16.1518,811.789468,0.007416315894968939
SZ.300124,2020-08-03,52.9,1003757760.0,1.39,16.1518,854.4302200000001,0.05252686032630316
SZ.300124,2020-08-04,52.2,935000432.0,1.31,16.1518,843.1239600000001,-0.013232514177693666
SZ.300124,2020-08-05,52.86,727310448.0,1.01,16.1518,853.7841480000001,0.01264367816091938
SZ.300124,2020-08-06,51.73,852663904.0,1.21,16.1518,835.5326140000001,-0.021377222852818734
SZ.300124,2020-08-07,51.47,743860832.0,1.03,16.1518,831.333146,-0.0050260970423352536
SZ.300124,2020-08-10,52.22,614389680.0,0.85,16.1518,843.446996,0.014571595103944013
SZ.300124,2020-08-11,52.89,1053326224.0,1.41,16.1518,854.2687020000001,0.01283033320566851
SZ.300124,2020-08-12,50.62,874986160.0,1.25,16.1518,817.6041160000001,-0.042919266401966305
SZ.300124,2020-08-13,52.55,660078032.0,0.92,16.1518,848.77709,0.03812722244172262
SZ.300124,2020-08-14,55.13,1061443568.0,1.41,16.1518,890.4487340000002,0.049096098953377965
SZ.300124,2020-08-17,55.47,821206144.0,1.09,16.1518,895.9403460000001,0.006167241066569851
SZ.300124,2020-08-18,55.64,1245869536.0,1.63,16.1518,898.6861520000001,0.0030647196682891398
SZ.300124,2020-08-19,56.42,856798560.0,1.1,16.1518,911.2845560000001,0.014018691588784993
SZ.300124,2020-08-20,53.8,829314128.0,1.09,16.1518,868.96684,-0.046437433534207706
SZ.300124,2020-08-21,55.32,628682400.0,0.83,16.1518,893.5175760000001,0.028252788104089266
SZ.300124,2020-08-24,56.06,638830720.0,0.83,16.1518,905.4699080000001,0.013376717281272654
SZ.300124,2020-08-25,57.48,663375764.0,0.84,16.1518,928.405464,0.025330003567606063
SZ.300124,2020-08-26,56.0,662982288.0,0.85,16.1518,904.5008,-0.025748086290883765
SZ.300124,2020-08-27,58.7,1088741352.0,1.35,16.1518,948.1106600000002,0.048214285714285765
SZ.300124,2020-08-28,57.89,1040484875.0,1.32,16.1518,935.0277020000001,-0.013798977853492378
SZ.300124,2020-08-31,55.8,1154749108.0,1.48,16.1518,901.27044,-0.03610295387804463
SZ.300124,2020-09-01,57.28,702116928.0,0.89,16.1518,925.1751040000001,0.026523297491039655
SZ.300124,2020-09-02,56.5,704686784.0,0.9,16.1518,912.5767000000001,-0.013617318435754311
SZ.300124,2020-09-03,54.76,713478616.0,0.93,16.1518,884.472568,-0.030796460176991225
SZ.300124,2020-09-04,54.93,544168021.0,0.72,16.1518,887.218374,0.003104455807158457
SZ.300124,2020-09-07,53.89,630883722.0,0.84,16.1518,870.420502,-0.018933187693428
SZ.300124,2020-09-08,53.37,584298754.0,0.8,16.1518,862.021566,-0.009649285581740608
SZ.300124,2020-09-09,51.69,604072560.0,0.84,16.1518,834.8865420000001,-0.03147835862844284
SZ.300124,2020-09-10,51.5,518522080.0,0.72,16.1518,831.8177000000001,-0.0036757593344941553
SZ.300124,2020-09-11,52.27,605036688.0,0.85,16.1518,844.2545860000001,0.014951456310679623
SZ.300124,2020-09-14,52.01,656763488.0,0.91,16.1518,840.055118,-0.004974172565525348
SZ.300124,2020-09-15,53.79,605179093.0,0.82,16.1518,868.805322,0.03422418765621993
SZ.300124,2020-09-16,53.2,433125152.0,0.59,16.1518,859.2757600000001,-0.01096858152072866
SZ.300124,2020-09-17,55.36,639900336.0,0.85,16.1518,894.1636480000001,0.04060150375939853
SZ.300124,2020-09-18,55.45,584317104.0,0.76,16.1518,895.6173100000001,0.0016257225433526923
SZ.300124,2020-09-21,55.83,477756512.0,0.62,16.1518,901.754994,0.006853020739404858
SZ.300124,2020-09-22,54.99,396076251.0,0.52,16.1518,888.1874820000002,-0.015045674368618811
